,repository_name,language
0,.github,
1,ads-advanced-tools-docs,
2,ads-pao-amznjs-gtm-template,Smarty
3,alexa-coho,JavaScript
4,alexa-skills-kit-js,
5,amazon-ads-advertiser-audience-normalization-sdk-py,Python
6,amazon-advertising-api-php-sdk,PHP
7,amazon-codeguru-profiler-for-spark,Java
8,amazon-frustration-free-setup-certification-tool,Python
9,amazon-hub-counter-api-docs,CSS
10,amazon-hub-counter-api-samples,Java
11,amazon-hub-counter-sdk-java,Java
12,amazon-hub-support,PowerShell
13,amazon-instant-access-sdk-java,Java
14,amazon-instant-access-sdk-net,C#
15,amazon-instant-access-sdk-php,PHP
16,amazon-instant-access-sdk-ruby,Ruby
17,amazon-launcher-integration-cordova-plugin,JavaScript
18,amazon-marketing-stream-examples,Python
19,amazon-mcf-plugin-for-magento-1,PHP
20,amazon-multi-token-completion,Python
21,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
22,amazon-pay-api-sdk-dotnet,C#
23,amazon-pay-api-sdk-java,Java
24,amazon-pay-api-sdk-nodejs,JavaScript
25,amazon-pay-api-sdk-php,PHP
26,amazon-pay-sdk-csharp,C#
27,amazon-pay-sdk-java,Java
28,amazon-pay-sdk-php,PHP
29,amazon-pay-sdk-python,Python
30,amazon-pay-sdk-ruby,Ruby
31,amazon-pay-sdk-samples,PHP
32,amazon-payment-files-tools,Kotlin
33,amazon-payments-magento-2-plugin,PHP
34,amazon-ray,Python
35,amazon-s3-gst-plugin,C
36,amazon-sidewalk-android-samples,
37,amazon-sidewalk-ios-samples,Swift
38,amazon-succinct-doc-representation,Python
39,amazon-template-library,C++
40,amazon-weak-ner-needle,Python
41,amigitenough,Go
42,amzn-drivers,C
43,amzn-ec2-ena-utilities,Python
44,auction-gym,Jupyter Notebook
45,augment-the-pairs-wacv2024,Python
46,autotrail,Python
47,aws-apigateway-client-lib,
48,aws-sigv4-signing-samples,Java
49,awsssmchaosrunner,Kotlin
50,basis-point-sets,Python
51,buy-with-prime-automate-tenant-validation,JavaScript
52,buy-with-prime-cdk-constructs,TypeScript
53,buy-with-prime-event-accelerator,Python
54,buy-with-prime-monitoring-sample-cdk,TypeScript
55,buy-with-prime-oauth-handler-ec2,JavaScript
56,buy-with-prime-saas-integration,TypeScript
57,chalet-charging-location-for-electric-trucks,Python
58,computer-vision-basics-in-microsoft-excel,
59,confident-sinkhorn-allocation,Jupyter Notebook
60,convolutional-handwriting-gan,Python
61,cosearcher,Python
62,credence-to-causal-estimation,Python
63,data-jack-knife,Java
64,debiased-balanced-interleaving,Jupyter Notebook
65,differential-privacy-bayesian-optimization,Python
66,distance-assistant,Python
67,drs-sample-android-app,Java
68,drs-sample-ios-app,Objective-C
69,emukit-playground,JavaScript
70,eslint-plugin-no-date-parsing,TypeScript
71,exoplayer-amazon-port,Java
72,explainable-text-vqa,
73,extremely-efficient-query-encoder,Python
74,faithful-data2text-cycle-training,Python
75,fashion-attribute-disentanglement,Python
76,fire-app-builder,Java
77,firetv-sample-touch-app,Java
78,ftv-integration-sdk-sample-app,Kotlin
79,ftv-livetv-sample-tv-app,Java
80,gameon-sample-game-unity,C#
81,gameon-starter-kit-unity,C#
82,git-commit-template,JavaScript
83,glad,JavaScript
84,golang-gitoperations,Go
85,halo-third-party-sdk-for-java,Java
86,halo-third-party-sdk-for-node-js,TypeScript
87,halo-third-party-sdk-for-python,Python
88,hawktracer,C++
89,image-misspell-coling2020,
90,image-to-recipe-transformers,Python
91,informative-diverse-hard-negative-sampling,Python
92,ion-object-mapper-dotnet,C#
93,jekyll-doc-project,HTML
94,kqr,
95,login-with-amazon-oscommerce,PHP
96,login-with-amazon-wordpress,PHP
97,merlin-on-demand-callgraph,JavaScript
98,metalearn-leap,Python
99,milan,Scala
100,mrc-net-6d-pose,Python
101,multiconer-baseline,Python
102,multilingual-keyphrase-generation,Python
103,multimodal-affinities,Python
104,MXFusion,Python
105,nimbus-jose-jwt_aws-kms-extension,Java
106,node-jose_aws-kms-extension,TypeScript
107,openapi-swift-code-generate,Swift
108,orthogonal-additive-gaussian-processes,Python
109,oss-attribution-builder,TypeScript
110,oss-contribution-tracker,TypeScript
111,oss-dashboard,Ruby
112,pecos,Python
113,pretraining-or-self-training,Python
114,python-jose_aws-kms-extension,Python
115,rdma-core,C
116,refuel-open-domain-qa,Python
117,rete-thewebconf-2022,Python
118,rheoceros,Python
119,robotiq-gripper-interface,C++
120,sample-fire-tv-app-video-skill,Java
121,selling-partner-api-docs,
122,selling-partner-api-models,Mustache
123,selling-partner-api-samples,Python
124,seqzero,Python
125,service-model-swift-code-generate,Swift
126,sketch-constructor,JavaScript
127,smoke-aws,Swift
128,smoke-aws-credentials,Swift
129,smoke-aws-generate,Swift
130,smoke-aws-support,Swift
131,smoke-dynamodb,Swift
132,smoke-framework,Swift
133,smoke-framework-application-generate,Swift
134,smoke-framework-examples,Swift
135,smoke-http,Swift
136,sparse-vqvae,Python
137,ss-aga-kgc,Python
138,sto-transformer,Python
139,style-dictionary,JavaScript
140,supply-chain-simulation-environment,Python
141,tiny-attribution-generator,TypeScript
142,trans-encoder,Python
143,user-satisfaction-modeling,Python
144,workspace-resolver,JavaScript
145,ws-vae,Python
146,xfer,Python
147,zeek-plugin-bacnet,Zeek
148,zeek-plugin-enip,Zeek
149,zeek-plugin-profinet,Zeek
150,sample-fire-tv-app-video-skill,Java
151,selling-partner-api-docs,
152,selling-partner-api-models,Mustache
153,selling-partner-api-samples,Python
154,seqzero,Python
155,service-model-swift-code-generate,Swift
156,sketch-constructor,JavaScript
157,smoke-aws,Swift
158,smoke-aws-credentials,Swift
159,smoke-aws-generate,Swift
160,smoke-aws-support,Swift
161,smoke-dynamodb,Swift
162,smoke-framework,Swift
163,smoke-framework-application-generate,Swift
164,smoke-framework-examples,Swift
165,smoke-http,Swift
166,sparse-vqvae,Python
167,ss-aga-kgc,Python
168,sto-transformer,Python
